No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Signals,Use signals for reactive state,Signals are the basic unit of reactivity in Leptos,Use create_signal for state,"let mut count = 0","let (count, set_count) = create_signal(0);",let mut count = 0;,High,https://book.leptos.dev/reactivity/01_signals.html
2,Signals,Use derived signals for computed values,Derived signals automatically update when dependencies change,Create a closure that accesses signals,Manually update a separate signal in an effect,"let double_count = move || count.get() * 2;","create_effect(move |_| { set_double(count.get() * 2); });",High,https://book.leptos.dev/reactivity/02_derived_signals.html
3,Effects,Avoid synchronizing state with effects,Effects should be used for side effects not state management,Use derived signals for dependent state,Use effects to copy data from one signal to another,"let b = move || a.get() * 2;","create_effect(move |_| { set_b(a.get() * 2); });",High,https://book.leptos.dev/reactivity/14_create_effect.html
4,Components,Use #[component] macro,Annotate component functions with the macro,#[component] fn MyComp() -> impl IntoView,fn MyComp() -> impl IntoView,#[component] fn App() -> impl IntoView { ... },fn App() -> impl IntoView { ... },High,https://book.leptos.dev/view/03_components.html
5,Props,Use #[prop(into)] for flexibility,Allow passing values that can be converted into the prop type,#[prop(into)] signal: Signal<i32>,Require exact types like ReadSignal<i32>,"#[prop(into)] count: Signal<i32>",count: ReadSignal<i32>,Medium,https://book.leptos.dev/view/03_components.html#into-props
6,Props,Use optional props with #[prop(optional)],Mark props as optional to avoid passing None explicitly,#[prop(optional)] title: Option<String>,Require passing None for optional props,"#[prop(optional)] title: Option<String>",title: Option<String>,Low,https://book.leptos.dev/view/03_components.html#optional-props
7,Control Flow,Use <Show> for conditional rendering,Enables fine-grained reactivity for conditional parts,<Show when=... fallback=...> ... </Show>,{move || if cond() { ... } else { ... }},"<Show when=move || count.get() > 5 fallback=|| view! { <Small/> }> <Big/> </Show>","{move || if count.get() > 5 { view! { <Big/> } } else { view! { <Small/> } }}",Medium,https://book.leptos.dev/view/06_control_flow.html
8,Control Flow,Use <For> for lists,Keyed list rendering for performance,<For each=... key=... children=... />,items.iter().map(...).collect_view(),"<For each=items key=|item| item.id let:item> <li>{item.name}</li> </For>","<ul>{items.get().into_iter().map(|n| view! { <li>{n}</li> }).collect_view()}</ul>",High,https://book.leptos.dev/view/04_iteration.html
9,Reactivity,Access signals in closures,Signals must be accessed within a tracking context (like a closure) to be reactive,move || count.get(),count.get() outside closure,"view! { <p>{move || count.get()}</p> }","view! { <p>{count.get()}</p> }",High,https://book.leptos.dev/reactivity/01_signals.html#getting-and-setting
10,Reactivity,Clone signals for async blocks,Signals are Copy but need to be moved into async blocks properly,let set_count = set_count.clone(); spawn_local(async move { ... }),Capture signal directly in async block,"let set_count = set_count.clone(); spawn_local(async move { set_count.set(1); });","spawn_local(async move { set_count.set(1); });",Medium,https://book.leptos.dev/async/02_server_side_rendering.html
11,Components,Use Children for slot content,Pass children to components using the Children type,children: Children,Pass view directly as prop,"#[component] fn Wrapper(children: Children) -> impl IntoView { view! { <div>{children()}</div> } }",,Medium,https://book.leptos.dev/view/09_component_children.html
12,Styling,Use Tailwind or CSS classes,Leptos works well with standard CSS/Tailwind classes,class=""my-class"",Inline styles for everything,"view! { <div class=""p-4 bg-blue-500"">...</div> }",,Low,
